#JCAT	Name
# Updated 2025 Aug  5 0444:32
A00045	[Луна-4]
A04757	Космос-1662 ЭСО
A04770	Спускаемая Капсула
A04780	Спускаемая Капсула
A04788	СПК 21КС
A04791	Спускаемая Капсула
A04800	Спускаемая Капсула
A04849	Спускаемая Капсула
A04853	Спускаемая Капсула
A04869	Спускаемая Капсула
A04874	Спускаемая Капсула
A04891	Спускаемая Капсула
A04894	Спускаемая Капсула
A04896	Спускаемая Капсула
A04898	Спускаемая Капсула
A04900	Спускаемая Капсула
A04901	Спускаемая Капсула
A04903	Спускаемая Капсула
A04912	Спускаемая Капсула
A04913	Спускаемая Капсула
A04919	ВБК Радуга
A04920	Спускаемая Капсула
A04935	Спускаемая Капсула
A04939	Спускаемая Капсула
A04944	Радио РС-14
A04947	Спускаемая Капсула
A04950	Спускаемая Капсула
A04984	Спускаемая Капсула
A05000	Спускаемая Капсула
A05001	ВБК Радуга
A05018	Спускаемая Капсула
A05022	Спускаемая Капсула
A05047	ВБК Радуга
A05051	Спускаемая Капсула
A05052	Спускаемая Капсула
A05054	Спускаемая Капсула
A05055	Спускаемая Капсула
A05057	Спускаемая Капсула
A05058	Спускаемая Капсула
A05060	Спускаемая Капсула
A05062	Спускаемая Капсула
A05073	Спускаемая Капсула
A05074	Спускаемая Капсула
A05090	Спускаемая Капсула
A05093	Спускаемая Капсула
A05095	ВБК Радуга
A05106	Спускаемая Капсула
A05107	Космос-2075 ЭСО
A05108	Космос-2075 ЭСО
A05109	Космос-2075 ЭСО
A05110	Космос-2075 ЭСО
A05111	Космос-2075 ЭСО
A05112	Космос-2075 ЭСО
A05113	Космос-2075 ЭСО
A05114	Космос-2075 ЭСО
A05115	Космос-2075 ЭСО
A05116	Космос-2075 ЭСО
A05117	Космос-2075 ЭСО
A05121	Спускаемая Капсула
A05137	Спускаемая Капсула
A05165	Спускаемая Капсула
A05175	Спускаемая Капсула
A05186	Спускаемая Капсула
A05208	Спускаемая Капсула
A05213	Спускаемая Капсула
A05232	Спускаемая Капсула
A05236	ВБК Радуга
A05250	Спускаемая Капсула
A05269	Спускаемая Капсула
A05272	Спускаемая Капсула
A05274	Спускаемая Капсула
A05275	Спускаемая Капсула
A05277	Спускаемая Капсула
A05285	Спускаемая Капсула
A05287	Спускаемая Капсула
A05290	Спускаемая Капсула
A05292	Спускаемая Капсула
A05294	Спускаемая Капсула
A05295	Спускаемая Капсула
A05299	Спускаемая Капсула
A05319	Спускаемая Капсула
A05333	Спускаемая Капсула
A05354	ВБК Радуга
A05360	Спускаемая Капсула
A05362	Спускаемая Капсула
A05380	Спускаемая Капсула
A05381	Спускаемая Капсула
A05383	Спускаемая Капсула
A05384	Спускаемая Капсула
A05385	ВБК Радуга
A05386	Спускаемая Капсула
A05397	Спускаемая Капсула
A05400	Спускаемая Капсула
A05401	Спускаемая Капсула
A05402	ВБК Радуга
A05490	Спускаемая Капсула
A05492	Спускаемая Капсула
A05497	ВБК Радуга
A05515	Спускаемая Капсула
A05518	Спускаемая Капсула
A05520	Спускаемая Капсула
A05539	Спускаемая Капсула
A05541	Спускаемая Капсула
A05556	Спускаемая Капсула
A05559	Спускаемая Капсула
A05561	Спускаемая Капсула
A05576	Спускаемая Капсула
A05578	Спускаемая Капсула
A05580	Спускаемая Капсула
A05583	Спускаемая Капсула
A05585	Спускаемая Капсула
A05587	Спускаемая Капсула
A05593	Спускаемая Капсула
A05595	Спускаемая Капсула
A05600	Спускаемая Капсула
A05602	Спускаемая Капсула
A05614	Спускаемая Капсула
A05617	Спускаемая Капсула
A05628	Спускаемая Капсула
A05632	Спускаемая Капсула
A05634	Спускаемая Капсула
A05639	Спускаемая Капсула
A05643	Спускаемая Капсула
A05645	Спускаемая Капсула
A05663	Спускаемая Капсула
A05667	Спускаемая Капсула
A05709	Стыковочный Отсек
A05784	Спускаемая Капсула
A05787	Спускаемая Капсула
A05836	Марс-96
A05838	Малая автономная станция (МАС)
A05839	Малая автономная станция (МАС)
A05840	Пенетратор
A05841	Пенетратор
A05927	Спускаемая Капсула
A05930	Спускаемая Капсула
A05935	Спускаемая Капсула
A05949	Спускаемая Капсула
A05951	Спускаемая Капсула
A05964	Спускаемая Капсула
A05969	Спускаемая Капсула
A05975	Спускаемая Капсула
A06049	Спускаемая Капсула
A06059	Спускаемая Капсула
A06104	Спускаемая Капсула
A06109	Спускаемая Капсула
A06213	Спускаемая Капсула
A06219	Спускаемая Капсула
A06260	Демонстратор-1 НТУ
A06346	Спускаемая Капсула
A06348	Спускаемая Капсула
A06349	Космос-2306 ЭСО
A06350	Космос-2306 ЭСО
A06351	Космос-2306 ЭСО
A06352	Космос-2306 ЭСО
A06353	Космос-2306 ЭСО
A06355	Спускаемая Капсула
A06357	Спускаемая Капсула
A06367	Спускаемая Капсула
A06369	Спускаемая Капсула
A06419	Спускаемая Капсула
A06421	Спускаемая Капсула
A06426	Спускаемая Капсула
A06428	Спускаемая Капсула
A06431	Спускаемая Капсула
