#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
# Updated 2025 Aug  5 0444:32
R62508	1996-S07	HYFLEX	1996 Feb 11 	1996 Feb 11	1996 Feb 11	1996 Feb 11	-	NASDA RV	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R65951	2001-S37	Cosmos-1 Test	2001 Jul 20 	2001 Jul 20	2001 Jul 20	2001 Jul 20	-	TPS	-	-	-	A	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R66541	2002-S53	IRDT-2	2002 Jul 12 	2002 Jul 12	2002 Jul 12	2002 Jul 12	-	IRDT	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R68102	2005-S42	IRDT-2R	2005 Oct  6 	2005 Oct  6	2005 Oct  6	2005 Oct  6	-	IRDT	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R68772	2007-S19	Celestis 06	2007 Apr 28 	2007 Apr 28	2007 Apr 28	2007 Apr 28	-	CPAC	-	-	-	B	MISC	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R70262	2010-S30	HTV-2a	2010 Apr 22 	2010 Apr 22	2010 Apr 22	2010 Apr 22	-	AF Hyper	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R70282	2010-S32	Celestis 09	2010 May  4 	2010 May  4	2010 May  4	2010 May  4	-	CPAC	-	-	-	B	MISC	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R70813	2011-S18	Celestis 10	2011 May 20 	2011 May 20	2011 May 20	2011 May 20	-	CPAC	-	-	-	B	MISC	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R71930	2013-S41	Celestis 12	2013 Jun 21 	2023 Jun 21	2023 Jun 21	2023 Jun 21	-	CPAC	-	-	-	B	MISC	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R72622	2014-S37	GVM A2PP	2014 Jul  9 	2014 Jul  9	2014 Jul  9	2014 Jul  9	-	Angara	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R72851	2014-S64	Celestis 13	2014 Oct 23 	2014 Oct 23	2024 Oct 23	2024 Oct 23	-	CPAC	-	-	-	B	MISC	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R72938	2014-S79	CARE	2014 Dec 18 	2014 Dec 18	2014 Dec 18	2014 Dec 18	-	Gagan	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R73452	2015-S72	Celestis 14	2015 Nov  6 	2015 Nov  6	2015 Nov  6	2015 Nov  6	-	CPAC	-	-	-	B	MISC	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R73478	2015-S29	New Shepard NS-01	2015 Apr 29 	2015 Apr 29	2015 Apr 29	2015 Apr 29	-	New Shepard	-	-	-	B	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R73480	2015-S76	New Shepard NS-02	2015 Nov 23 	2015 Nov 23	2015 Nov 23	2015 Nov 23	-	New Shepard	-	-	-	B	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R74078	2016-S02	New Shepard NS-03	2016 Jan 22 	2016 Jan 22	2016 Jan 22	2016 Jan 22	-	New Shepard	-	-	-	B	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
