#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2025 Aug  5 0444:30
L00061	NSO	1944-A40	1944-A40	R0          	Private A Booster	Private A Booster	1944 Dec	L00062	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00062	NSO	1944-A40	1944-A40	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00063	NSO	1944-A41	1944-A41	R0          	Private A Booster	Private A Booster	1944 Dec	L00064	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00064	NSO	1944-A41	1944-A41	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00065	NSO	1944-A42	1944-A42	R0          	Private A Booster	Private A Booster	1944 Dec	L00066	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00066	NSO	1944-A42	1944-A42	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00067	NSO	1944-A43	1944-A43	R0          	Private A Booster	Private A Booster	1944 Dec	L00068	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00068	NSO	1944-A43	1944-A43	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00069	NSO	1944-A44	1944-A44	R0          	Private A Booster	Private A Booster	1944 Dec	L00070	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00070	NSO	1944-A44	1944-A44	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00071	NSO	1944-A45	1944-A45	R0          	Private A Booster	Private A Booster	1944 Dec	L00072	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00072	NSO	1944-A45	1944-A45	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00073	NSO	1944-A46	1944-A46	R0          	Private A Booster	Private A Booster	1944 Dec	L00074	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00074	NSO	1944-A46	1944-A46	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00075	NSO	1944-A47	1944-A47	R0          	Private A Booster	Private A Booster	1944 Dec	L00076	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00076	NSO	1944-A47	1944-A47	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00077	NSO	1944-A48	1944-A48	R0          	Private A Booster	Private A Booster	1944 Dec	L00078	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00078	NSO	1944-A48	1944-A48	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
