#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2025 Aug  5 0444:30
A00034	00020	1959 ETA	1959 ETA	R3          	Vanguard SLV-7 Stage 3	X-248-A2 SV-59	1959 Sep 18	R03185	1959 Sep 18 0529	Earth	-	O	-	GSFC	US	HERC/ABL	Altair	-	      24 	 	     24 	 	       0 	 	   1.5 	 	  0.5 	 	    1.5 	 	Cyl	1989 Mar 31	     513	 	    3506	 	 33.30 	 	MEO	-	-
A00035	NNA	1959 THE	1959 THE	R3  D       	Vostok 8K72 No. 8 Stage 3	8K72E No. I1-8	1959 Oct  4	R03232	1959 Oct  4 0055?	Earth	1959 Oct  4 1504	DSO	D00010	NII88	SU	OKB1	Blok-E	-	    1553 	 	   1553 	 	    1553 	 	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1959 Oct  5	     500	 	  500000	 	 55.00 	 	CLO	-	-
A00036	00024	1959 KAP	1959 KAP	R2          	Agena A 1051	Agena A	1959 Nov  7	R03336	1959 Nov  7 2035	Earth	1959 Nov 26	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Nov  8	     158	 	     821	 	 81.64 	 	LLEO/I	-	-
A00037	00024	1959 KAP	1959 KAP	C AM        	Star 10	Star 10	1959 Nov  7	A00038	1959 Nov  7 2035	Earth	1959 Nov 26	AR	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1959 Nov  8	     158	 	     821	 	 81.64 	 	LLEO/I	-	-
A00038	00024	1959 KAP	1959 KAP	PXAR---     	SRV 109	SRV	1959 Nov  7	S00024	1959 Nov  7 2035	Earth	1959 Nov 26	AR	-	ARPA/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1959 Nov  8	     158	 	     821	 	 81.64 	 	LLEO/I	-	-
A00039	00025	1959 LAM	1959 LAM	R2-----*    	Agena A 1050	Agena A	1959 Nov 20	R03368	1959 Nov 20 1931	Earth	1960 Mar  8	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Nov 20	     190	 	    1658	 	 80.60 	 	LEO/I	-	-
A00040	NNA R	1959 LAM	1959 LAM	C  MR       	Star 10	Star 10	1959 Nov 20	A00041	1959 Nov 21 2120	Earth	1959 Nov 21 2127?	D	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1959 Nov 21	     -14	?	    1391	 	 80.60 	 	SO	-	-
A00041	NNA T	1959 LAM	1959 LAM	PX-RT--     	SRV 107	SRV	1959 Nov 20	S00025	1959 Nov 21 2120	Earth	1959 Nov 21 2143?	L	25N 150W?	ARPA/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1959 Nov 21	     190	 	    1658	 	 80.60 	 	LEO/I	-	-
A00042	NNA	1960 ALP	1960 ALP	R3  D       	Thor Able IV Stage 3	Altair SV 67	1960 Mar 11	R03599	1960 Mar 11 1305	Earth	1960 Mar 11 2300	DSO	D00012	AFBMD	US	ABL	Altair	-	      24 	 	     24 	 	      24 	 	   1.7 	 	  0.5 	 	    1.7 	 	Cyl	1960 Mar 11	    -455	 	 -142121	 	 24.60 	 	EEO	-	JATO X-248A7 SV 67
A00043	NNA	1960 GAM	1960 GAM	C  Y        	Transit 1B despin weight	Despin weight	1960 Apr 13	S00031	1960 Apr 13 1240?	Earth	-	O	-	BUWEPS	US	APL	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	-	1960 May 26	     373	 	     737	 	 51.28 	 	LLEO/I	-	-
A00044	NNA	1960-U01	1960-U01	R3--D--*    	Vostok 8K72 No. 9 Stage 3	8K72E No. L1-9	1960 Apr 15	R03663	1960 Apr 15 1518	Earth	1960 Apr 16 0930?	DSO	D00013	RVSN	SU	OKB1	Blok-E	-	    1500 	 	   1500 	 	    1780 	?	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1960 Apr 15	      50	?	  200000	?	 65.00 	?	TA	-	-
A00045	NNA	1960-U01	1960-U01	PX--D--     	AMS	E-3 No. 1	1960 Apr 15	A00044	1960 Apr 15 1519	Earth	1960 Apr 16 0930?	DSO	D00014	NII88	SU	OKB1	E-3	-	     280 	?	    280 	?	     280 	?	   1.3 	 	  1.2 	 	    1.5 	 	Ell	1960 Apr 15	      50	?	  200000	?	 65.00 	?	TA	-	-
A00046	00032	1960 DEL	1960 DEL	R2          	Agena A 1055	Agena A	1960 Apr 15	R03665	1960 Apr 15 2036	Earth	1960 Apr 26	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1960 Apr 18	     169	 	     546	 	 80.01 	 	LLEO/I	-	-
A00047	00032	1960 DEL	1960 DEL	PXA         	TOD-3	Transit-On-Discoverer	1960 Apr 15	A00046	1960 Apr 15 2036	Earth	1960 Apr 26	AR	-	AFBMD	US	APL	ARPL?	-	       5 	?	      5 	?	       0 	 	   0.5 	?	  0.5 	?	    0.5 	?	Box	1960 Apr 18	     169	 	     546	 	 80.01 	 	LLEO/I	-	-
A00048	NNA R	1960 DEL	1960 DEL	C  MR       	Star 10	Star 10	1960 Apr 15	A00049	1960 Apr 16 2236?	Earth	1960 Apr 16 2243?	D	145W 30N	AFBMD/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Apr 16	    -130	?	     460	?	 80.41 	 	SO	-	-
A00049	NNA T	1960 DEL	1960 DEL	PX-RT--     	SRV 103	SRV	1960 Apr 15	S00032	1960 Apr 16 2236?	Earth	1960 Apr 16 2245?	D	145W 30N	AFBMD/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1960 Apr 16	     166	 	     603	 	 80.41 	 	LLEO/I	-	-
A00050	00043	1960 ZET	1960 ZET 1	R2          	Agena A 1007	Agena A	1960 May 24	R03733	1960 May 24 1748	Earth	1974 Feb  7	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1960 Jun 26	     482	 	     514	 	 33.00 	 	LLEO/I	-	-
A00051	00048	1960 THE	1960 THE	R2          	Agena A 1057	Agena A	1960 Aug 10	R03987	1960 Aug 10 2045	Earth	1960 Nov 14	R	-	AFBMD	US	LMSD	Agena A	-	     572 	 	    556 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1960 Aug 10	     252	 	     688	 	 82.90 	 	LLEO/I	-	-
A00052	NNA R	1960 THE	1960 THE	C  MR       	Star 10	Star 10	1960 Aug 10	A00053	1960 Aug 11 2313	Earth	1960 Aug 11 2322	D	-	AFBMD/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Aug 11	    -206	 	     514	 	 82.90 	 	SO	-	-
