#JCAT	Piece	Name	Owner	State	World	Lon	Lat	LType	Status	LaunchDate	LandDate	OffDate	Dur	LSite	Comment
# Updated 2025 Aug  5 0444:49
D00243	1969-043C	LM 4 DS	MSC	US	Luna	        -	        -	C	R	1969 May 18 1649:00	1969 Jun?	1969 May 22 2334:17	    0.000 	-	Post-mission orbit decay
D00271	1969-059	LM 5 DS	MSC	US	Luna	   23.4333	    0.6875	L	L	1969 Jul 16 1332:00	1969 Jul 20 2017:40	1969 Jul 21 1754:01	    0.901 	Statio Tranquillitatis	First human-carrying lander, Tranquility Base
D00274	1969-059C	Eagle	MSC	US	Luna	   23.4333	    0.6875	AV	LC	1969 Jul 16 1332:00	1969 Jul 20 2017:40	1969 Jul 21 1754:01	    0.901 	-	Cabin and ascent vehicle, Apollo 11
D00265	1969-059	A7L-056	MSC	US	Luna	   23.4333	    0.6875	H	LC	1969 Jul 16 1332:00	1969 Jul 20 2017:40	1969 Jul 21 1754:01	    0.901 	-	N. Armstrong
D00266	1969-059	A7L-077	MSC	US	Luna	   23.4333	    0.6875	H	LC	1969 Jul 16 1332:00	1969 Jul 20 2017:40	1969 Jul 21 1754:01	    0.901 	-	E. Aldrin
D00267	1969-059	A7L-056 PLSS	MSC	US	Luna	   23.4333	    0.6875	C	LC	1969 Jul 16 1332:00	1969 Jul 20 2017:40	1969 Jul 21 1754:01	    0.901 	-	Spacesuit backpack
D00268	1969-059	A7L-077 PLSS	MSC	US	Luna	   23.4333	    0.6875	C	LC	1969 Jul 16 1332:00	1969 Jul 20 2017:40	1969 Jul 21 1754:01	    0.901 	-	Spacesuit backpack
D00269	1969-059	EASEP PSEP	MSC	US	Luna	   23.4333	    0.6875	C	LC	1969 Jul 16 1332:00	1969 Jul 20 2017:40	1969 Aug 27	   37.000 	-	Experiment package
D00270	1969-059	EASEP LRRR	MSC	US	Luna	   23.4333	    0.6875	C	LC	1969 Jul 16 1332:00	1969 Jul 20 2017:40	1969 Jul 20 2017:40	    0.000 	-	Passive experiment
D00259	1969-058A	Luna-15 KT (E-8-5 No. 401)	IKI	SU	Luna	   60	   17	L	I	1969 Jul 13 0254:42	1969 Jul 21 1552	1969 Jul 21 1552	    0.000 	-	Late ignition, crashed
D00262	1969-058A	Luna-15 VA	IKI	SU	Luna	   60	   17	AV	I	1969 Jul 13 0254:42	1969 Jul 21 1552	1969 Jul 21 1552	    0.000 	-	Attached to Luna-15
D00263	1969-058A	Luna-15 VS	IKI	SU	Luna	   60	   17	AV	I	1969 Jul 13 0254:42	1969 Jul 21 1552	1969 Jul 21 1552	    0.000 	-	Attached to Luna-15
D00300	1969-099	LM 6 DS	MSC	US	Luna	  -23.4216	   -3.0124	L	L	1969 Nov 14 1622:00	1969 Nov 19 0654:44	1969 Nov 20 1425:56	    1.313 	Surveyor Base	Apollo 12 lander
D00293	1969-099C	Intrepid	MSC	US	Luna	  -23.4216	   -3.0124	AV	LC	1969 Nov 14 1622:00	1969 Nov 19 0654:44	1969 Nov 20 1425:56	    1.313 	-	Cabin and ascent vehicle, Apollo 12
D00295	1969-099	A7L-065	MSC	US	Luna	  -23.4216	   -3.0124	H	LC	1969 Nov 14 1622:00	1969 Nov 19 0654:44	1969 Nov 20 1425:56	    1.313 	-	C. Conrad
D00296	1969-099	A7L-067	MSC	US	Luna	  -23.4216	   -3.0124	H	LC	1969 Nov 14 1622:00	1969 Nov 19 0654:44	1969 Nov 20 1425:56	    1.313 	-	A. Bean
D00297	1969-099	A7L-065 PLSS	MSC	US	Luna	  -23.4216	   -3.0124	C	LC	1969 Nov 14 1622:00	1969 Nov 19 0654:44	1969 Nov 20 1425:56	    1.313 	-	Spacesuit backpack
D00298	1969-099	A7L-067 PLSS	MSC	US	Luna	  -23.4216	   -3.0124	C	LC	1969 Nov 14 1622:00	1969 Nov 19 0654:44	1969 Nov 20 1425:56	    1.313 	-	Spacesuit backpack
D00299	1969-099	Apollo 12 ALSEP	MSC	US	Luna	  -23.4216	   -3.0124	C	LC	1969 Nov 14 1622:00	1969 Nov 19 0654:44	1977 Sep 30	 2872.000 	-	Experiment package
D01055	1969-U02	Intrepid	MSC	US	Luna	  -21.20	   -3.94	AV	I	1969 Nov 20 1425:56	1969 Nov 20 2217:25	1969 Nov 20 2217:25	    0.000 	-	Empty ascent vehicle, deorbited
D00260	1969-058	Sbrasivaemiy otsek	IKI	SU	Luna	   60	   17	C	R	1969 Jul 13 0254:42	1970?	1969 Jul 21 1545	    0.000 	-	Post-mission orbit decay
D00261	1969-058	Sbrasivaemiy otsek	IKI	SU	Luna	   60	   17	C	R	1969 Jul 13 0254:42	1970?	1969 Jul 21 1545	    0.000 	-	Post-mission orbit decay
D01052	1969-U01	Eagle	MSC	US	Luna	        -	        -	AV	R	1969 Jul 21 1754:01	1970?	1969 Jul 21 2342	    0.000 	-	May still be in lunar orbit?
D00105	1966-027A	Luna-10	IKI	SU	Luna	         -	         -	O	R	1966 Mar 31 1046:59	1970s?	1966 May 29	    0.000 	-	Post-mission orbit decay
D00108	1966-027	Luna-10 DU	IKI	SU	Luna	         -	         -	C	R	1966 Mar 31 1046:59	1970s?	1966 Apr  3 1845	    0.000 	-	Post-mission orbit decay
D00199	1968-027A	Luna-14	IKI	SU	Luna	        -	        -	O	R	1968 Apr  7 1009:32	1970s?	1968 Jun 24	    0.000 	-	Post-mission orbit decay
D00323	1970-029B	Saturn S-IVB-508	MSFC	US	Luna	  -27.8873	   -2.5550	R	I	1970 Apr 11 1913:03	1970 Apr 15 0109:40	1970 Apr 12 0116:36	    0.000 	-	Apollo 13 rocket stage
D00324	1970-029	S-IU-508	MSFC	US	Luna	  -27.8873	   -2.5550	C	IC	1970 Apr 11 1913:03	1970 Apr 15 0109:40	1970 Apr 12 0116:36	    0.000 	-	Attached to S-IVB
D00334	1970-072A	Luna-16 KT (E-8-5 No. 406)	IKI	SU	Luna	   56.3638	   -0.5137	L	L	1970 Sep 12 1325:53	1970 Sep 20 0517:51	1970 Sep 21 0743:21	    1.101 	-	Lander for sample return craft
D00338	1970-072	Luna-16 VS	IKI	SU	Luna	   56.3638	   -0.5137	AV	LC	1970 Sep 12 1325:53	1970 Sep 20 0517:51	1970 Sep 21 0743:21	    1.101 	-	Returned samples to Earth
D00337	1970-072A	Luna-16 VA	IKI	SU	Luna	   56.3638	   -0.5137	AV	LC	1970 Sep 12 1325:53	1970 Sep 20 0517:51	1970 Sep 21 0743:21	    1.101 	-	Returned samples to Earth
D00335	1970-072	Sbrasivaemiy otsek	IKI	SU	Luna	   56.3638	   -0.5137	C	R	1970 Sep 12 1325:53	1970 Oct?	-	    0.000 	-	Post-mission orbit decay
D00336	1970-072	Sbrasivaemiy otsek	IKI	SU	Luna	   56.3638	   -0.5137	C	R	1970 Sep 12 1325:53	1970 Oct?	-	    0.000 	-	Post-mission orbit decay
D00342	1970-095A	Luna-17 (E-8 No. 203)	IKI	SU	Luna	  -35.0016	   38.2376	L	L	1970 Nov 10 1444:01	1970 Nov 17 0347	1970 Nov 17?	    0.500 	-	Rover transport lander
D00344	1970-095	Lunokhod-1	IKI	SU	Luna	  -35.0081	   38.3151	RO	LC	1970 Nov 10 1444:01	1970 Nov 17 0347	1971 Oct	  318.000 	-	First robot rover
